Warehouse,Warehouse Organisation,Catalog,Category,Category Code,Item Name,Item Code,Brand,Model,Year,Unit of Measure,Pack,Pack Quantity,Weight,Length,Width,Height,Volume,Quantity,Received Date,Expiry Date,Unit,Unit Value,Currency,Supplier/Donor,Owned By (Organization/Branch),Tracking Number,Bin,Comments
NROC C WAREHOUSE,,,Shelter/Housing/Electrical Supplies/Survival,,Shelter box,,,,,set,,,,,,,,15,10/6/2009,,,78700,PHP,Jordan (RN 09-11-010),,,,for allocation
NROC B WAREHOUSE,,,Shelter/Housing/Electrical Supplies/Survival,,Solar Panel Model#F0003ww. Ready Set Kit,,,,,set,,,,,,,,16,3/8/2012,,,2500,PHP,Second Harvest Japan,,,,for allocation
NROC B WAREHOUSE,,,Shelter/Housing/Electrical Supplies/Survival,,"Sprayer Knapsack, manual operation",,,,,pcs,,,,,,,,91,,,,474.47,PHP,China c/o Central Office (RN 07-11-013),,,,for allocation
NROC B WAREHOUSE,,,Shelter/Housing/Electrical Supplies/Survival,,"Sprayer Knapsack, manual operation (incomplete set)",,,,,pcs,,,,,,,,13,,,,474.47,PHP,China c/o Central Office (RN 07-11-013),,,,for allocation
NROC B WAREHOUSE,,,Shelter/Housing/Electrical Supplies/Survival,,Spraying Equipment,,,,,unit,,,,,,,,48,,,,55000,PHP,China (RN 07-06-007),,,,for allocation
NROC B WAREHOUSE,,,Shelter/Housing/Electrical Supplies/Survival,,"Surf board, long",,,,,pcs,,,,,,,,1,8/8/2012,,,500,PHP,"Angelica Cilo, flight attendant of Air Phil. Express",,,,for allocation
NROC B WAREHOUSE,,,Shelter/Housing/Electrical Supplies/Survival,,"Tent, 270cm x 480cm x 200cm (H), used",,,,,set,,,,,,,,1,3/13/2012,,,2000,PHP,"Phil. Consulate General, Xiamen, China",,,,for allocation
NROC B WAREHOUSE,,,Shelter/Housing/Electrical Supplies/Survival,,"Tent, Coleman Stockton, 8persons capacity",,,,,set,,,,,,,,1,3/8/2012,,,6000,PHP,Second Harvest Japan,,,,for allocation
NROC B WAREHOUSE,,,Shelter/Housing/Electrical Supplies/Survival,,"Tiles, 20x20cm, Granite",,,,,pcs,,,,,,,,39914,1/21/2009,,,24,PHP,BOC,,,,for allocation
NROC B WAREHOUSE,,,Shelter/Housing/Electrical Supplies/Survival,,"Tiles, 20x30cm, Ceramics",,,,,pcs,,,,,,,,16803,8/22/2008,,,20,PHP,BOC,,,,for allocation
NROC B WAREHOUSE,,,Shelter/Housing/Electrical Supplies/Survival,,"Tiles, 25x33cm, Ceramics ",,,,,pcs,,,,,,,,3275,6/22/2008,,,27.5,PHP,BOC (08-04-004),,,,for allocation
NROC B WAREHOUSE,,,Shelter/Housing/Electrical Supplies/Survival,,"Tiles, 30x30cm, Granite",,,,,pcs,,,,,,,,46832,1/21/2008,,,54,PHP,BOC,,,,for allocation
