Warehouse,Warehouse Organisation,Catalog,Category,Category Code,Item Name,Item Code,Brand,Model,Year,Unit of Measure,Pack,Pack Quantity,Weight,Length,Width,Height,Volume,Quantity,Received Date,Expiry Date,Unit,Unit Value,Currency,Supplier/Donor,Owned By (Organization/Branch),Tracking Number,Bin,Comments
NROC Warehouse A,Warehouse A,,Food Items,,"Soup Mix, Dried Vegetables (129kilos)",,,,,barrel,,,,,,,,1,4/29/2012,8/28/2012,,12900,PHP,Second Harvest Japan,,,,
NROC Warehouse A,Warehouse A,,Food Items,,"Soup Mix, Dried Vegetables (130kilos)",,,,,barrel,,,,,,,,1,4/30/2012,8/29/2012,,13000,PHP,Second Harvest Japan,,,,
NROC Warehouse A,Warehouse A,,Food Items,,"Soup Mix, Dried Vegetables (132kilos)",,,,,barrel,,,,,,,,1,5/1/2012,8/30/2012,,13200,PHP,Second Harvest Japan,,,,
NROC Warehouse C,Warehouse C,,Shelter/Housing/Electrical Supplies/Survival,,"Sprayer Knapsack, manual operation",,,,,pcs,,,,,,,,96,5/2/2012,8/31/2012,,474.47,PHP,China c/o Central Office (RN 07-11-013),,,,
NROC Warehouse C,Warehouse C,,Shelter/Housing/Electrical Supplies/Survival,,"Sprayer Knapsack, manual operation (incomplete set)",,,,,pcs,,,,,,,,13,5/3/2012,9/1/2012,,474.47,PHP,China c/o Central Office (RN 07-11-013),,,,
NROC Warehouse C,Warehouse C,,Shelter/Housing/Electrical Supplies/Survival,,Spraying Equipment,,,,,Unit,,,,,,,,50,5/4/2012,9/2/2012,,55000,PHP,China (RN 07-06-007),,,,
NROC Warehouse B ,Warehouse B ,,Sports/Recreation,,"Stress ball, rubber round, asstd color",,,,,pcs,,,,,,,,140,5/5/2012,9/3/2012,,25,PHP,Lokal Industries,,,,
NROC Warehouse C,Warehouse C,,Clothings,,"T shirt ladies/short sleeves, used",,,,,kgs,,,,,,,,2331,5/6/2012,9/4/2012,,50,PHP,BOC c/o 400 bales (RN 2011-06-004),,,,
NROC Warehouse C,Warehouse C,,Textile/Curtain/etc,,"Table cloth, used (8kilos)",,,,,pcs,,,,,,,,5,5/7/2012,9/5/2012,,30,PHP,Filipino Expatriate Wire (Singapore),,,,
NROC Warehouse C,Warehouse C,,Shelter/Housing/Electrical Supplies/Survival,,"Tent, 270cm x 480cm x 200cm (H), used",,,,,set,,,,,,,,1,5/8/2012,9/6/2012,,0,PHP,"Phil. Consulate General, Xiamen, China",,,,
NROC Warehouse C,Warehouse C,,Shelter/Housing/Electrical Supplies/Survival,,"Tiles, 20x20cm, Granite",,,,,pcs,,,,,,,,39914,5/9/2012,9/7/2012,,24,PHP,BOC,,,,
NROC Warehouse C,Warehouse C,,Shelter/Housing/Electrical Supplies/Survival,,"Tiles, 20x30cm, Ceramics",,,,,pcs,,,,,,,,16803,5/10/2012,9/8/2012,,20,PHP,BOC,,,,
NROC Warehouse C,Warehouse C,,Shelter/Housing/Electrical Supplies/Survival,,"Tiles, 25x33cm, Ceramics ",,,,,pcs,,,,,,,,3275,5/11/2012,9/9/2012,,27.5,PHP,BOC (08-04-004),,,,
NROC Warehouse C,Warehouse C,,Shelter/Housing/Electrical Supplies/Survival,,"Tiles, 30x30cm, Ceramics1",,,,,pcs,,,,,,,,1500,5/12/2012,9/10/2012,,40,PHP,BOC (09-12-019),,,,
NROC Warehouse C,Warehouse C,,Shelter/Housing/Electrical Supplies/Survival,,"Tiles, 30x30cm, Ceramics2",,,,,pcs,,,,,,,,2168,5/13/2012,9/11/2012,,30,PHP,BOC,,,,
NROC Warehouse C,Warehouse C,,Shelter/Housing/Electrical Supplies/Survival,,"Tiles, 30x30cm, Granite",,,,,pcs,,,,,,,,59873,5/14/2012,9/12/2012,,54,PHP,BOC,,,,
NROC Warehouse C,Warehouse C,,Shelter/Housing/Electrical Supplies/Survival,,"Tiles, 30x60cm, Granite",,,,,pcs,,,,,,,,3500,5/15/2012,9/13/2012,,108,PHP,BOC (08-10-013),,,,
NROC Warehouse C,Warehouse C,,Shelter/Housing/Electrical Supplies/Survival,,"Tiles, 40x40cm, Ceramics1",,,,,pcs,,,,,,,,5241,5/16/2012,9/14/2012,,95,PHP,BOC (08-10-013),,,,
NROC Warehouse C,Warehouse C,,Shelter/Housing/Electrical Supplies/Survival,,"Tiles, 40x40cm, Ceramics2",,,,,pcs,,,,,,,,1280,5/17/2012,9/15/2012,,53,PHP,BOC (2010-12-009),,,,
NROC Warehouse C,Warehouse C,,Shelter/Housing/Electrical Supplies/Survival,,"Tiles, 40x40cm, Ceramics3",,,,,pcs,,,,,,,,76,5/18/2012,9/16/2012,,45,PHP,BOC (09-12-019),,,,
NROC Warehouse C,Warehouse C,,Shelter/Housing/Electrical Supplies/Survival,,"Tiles, 50x50cm, Granite (7pcs/box)1",,,,,pcs,,,,,,,,141,5/19/2012,9/17/2012,,150,PHP,BOC (08-04-004),,,,
NROC Warehouse C,Warehouse C,,Shelter/Housing/Electrical Supplies/Survival,,"Tiles, 50x50cm, Granite (7pcs/box)2",,,,,pcs,,,,,,,,581,5/20/2012,9/18/2012,,82.5,PHP,BOC (08-09-010),,,,
NROC Warehouse C,Warehouse C,,Shelter/Housing/Electrical Supplies/Survival,,"Tiles, Qixing 60x200mm 70pcs/box (Ceramics)",,,,,bx,,,,,,,,738,5/21/2012,9/19/2012,,560,PHP,BOC (RN 2010-05-004),,,,
NROC Warehouse C,Warehouse C,,Shelter/Housing/Electrical Supplies/Survival,,"Tiles, Sanlolus 298x300mm 17pcs/box (Ceramics)",,,,,bx,,,,,,,,117,5/22/2012,9/20/2012,,680,PHP,BOC (RN 2010-05-004),,,,
NROC Warehouse B ,Warehouse B ,,KIDS SUPPLIES,,"Toys, used, assorted",,,,,pcs,,,,,,,,25,5/23/2012,9/21/2012,,10,PHP,DSWD FO CAR,,,,
NROC Warehouse C,Warehouse C,,Clothings,,"Trench coat, used (135 pcs)",,,,,kgs,,,,,,,,143,5/24/2012,9/22/2012,,50,PHP,BOC c/o 140 bales (RN 09-03-002),,,,
NROC Warehouse C,Warehouse C,,Clothings,,"Trench coat, used (75kilos)",,,,,pcs,,,,,,,,61,5/25/2012,9/23/2012,,30,PHP,BOC c/o 540 bales (RN 2011-06-004),,,,
NROC Warehouse C,Warehouse C,,Houseware Supplies,,"Turner, aluminum, for big kawa, jumbo",,,,,pcs,,,,,,,,117,5/26/2012,9/24/2012,,45,PHP,Merla B. Andres,,,,
NROC Warehouse C,Warehouse C,,Shelter/Housing/Electrical Supplies/Survival,,Ufilta bottles (Water Filtration system),,,,,pcs,,,,,,,,900,5/27/2012,9/25/2012,,1077.97,PHP,"Aquafilta, Malaysia (2011-09-008)",,,,
NROC Warehouse C,Warehouse C,,Shelter/Housing/Electrical Supplies/Survival,,Wash basin with fittings,,,,,set,,,,,,,,150,5/28/2012,9/26/2012,,1858.19,PHP,China (RN 07-11-013),,,,
NROC Warehouse C,Warehouse C,,Shelter/Housing/Electrical Supplies/Survival,,Water Tank,,,,,Unit,,,,,,,,1,5/29/2012,9/27/2012,,141570,PHP,JICA (RN 08-06-007),,,,
NROC Warehouse C,Warehouse C,,Medical Equipment/Supplies,,"Wheelchair, 24"" wheels",,,,,sets,,,,,,,,4,5/30/2012,9/28/2012,,1500,PHP,PGH PhiKappa (2010-07-005),,,,
NROC Warehouse C,Warehouse C,,Shelter/Housing/Electrical Supplies/Survival,,Wooden Door ,,,,,pcs,,,,,,,,496,5/31/2012,9/29/2012,,482,PHP,China (RN 07-12-015),,,,
