Warehouse,Warehouse Organisation,Catalog,Category,Category Code,Item Name,Item Code,Brand,Model,Year,Unit of Measure,Pack,Pack Quantity,Weight,Length,Width,Height,Volume,Quantity,Received Date,Expiry Date,Unit,Unit Value,Currency,Supplier/Donor,Owned By (Organization/Branch),Tracking Number,Bin,Comments
NROC Warehouse C,Warehouse C,,Medical Equipment/Supplies,,"FROCKS, Small, white Raglan Sleeve, Elastic Wrist, Snap Collar, Snap Close (25pcs/case)",,,,,cs,,,,,,,,29,,,,13120.14,PHP,Second Harvest Japan,,,,
NROC Warehouse C,Warehouse C,,Shelter/Housing/Electrical Supplies/Survival,,Generator,,,,,Unit,,,,,,,,2,,,,37725,PHP,JICA (RN 08-06-007),,,,
NROC Warehouse C,Warehouse C,,Shelter/Housing/Electrical Supplies/Survival,,"Generator, Model JD3800/E",,,,,unit,,,,,,,,77,,,,17517.26,PHP,China (RN 07-11-013),,,,
NROC Warehouse C,Warehouse C,,Shelter/Housing/Electrical Supplies/Survival,,Glass louvre  5mmx100x1215mm ,,,,,sets,,,,,,,,1053,,,,599.78,PHP,China (RN 07-11-013,,,,
NROC Warehouse C,Warehouse C,,Shelter/Housing/Electrical Supplies/Survival,,Glass louvre 5mmx100x860mm,,,,,sets,,,,,,,,290,,,,539.52,PHP,China (RN 07-11-013,,,,
NROC Warehouse C,Warehouse C,,Houseware Supplies,,"Glass, plastic, drinking, 340ml capacity",,,,,pcs,,,,,,,,1952,,,,6.9,PHP,Merla B. Andres,,,,
NROC Warehouse C,Warehouse C,,Medical Equipment/Supplies,,"GLOVES, Kavlar Shell with blue dipped latex, Size 8""",,,,,pairs,,,,,,,,384,,,,10,PHP,Second Harvest Japan,,,,
NROC Warehouse C,Warehouse C,,Medical Equipment/Supplies,,"GLOVES, Kavlar Shell with blue dipped latex, Size 9""",,,,,pairs,,,,,,,,2080,,,,10,PHP,Second Harvest Japan,,,,
NROC Warehouse C,Warehouse C,,Medical Equipment/Supplies,,"GOWN, Universal,  Blue, Full Cover w/ Banded Ties, Elastic Wrist (50pcs/case)",,,,,cs,,,,,,,,50,,,,11247.67,PHP,Second Harvest Japan,,,,
NROC Warehouse C,Warehouse C,,Medical Equipment/Supplies,,"HYDRATION SYSTEM, Platypus Big Zip II, 1.8 Liters Capacity",,,,,sets,,,,,,,,100,,,,1000,PHP,Second Harvest Japan,,,,
NROC Warehouse C,Warehouse C,,Medical Equipment/Supplies,,"HYDRATION SYSTEM, Platypus, 2.0 Liters Capacity",,,,,sets,,,,,,,,998,,,,1200,PHP,Second Harvest Japan,,,,
NROC Warehouse C,Warehouse C,,Medical Equipment/Supplies,,"HYDRATION SYSTEM, Platypus, Hoser,  3.0 Liters Capacity",,,,,sets,,,,,,,,128,,,,1500,PHP,Second Harvest Japan,,,,
NROC Warehouse B ,Warehouse B ,,Personal Hygiene,,Hygiene Kit bag,,,,,pcs,,,,,,,,151,,,,0,PHP,UNICEF,,,,
