Warehouse,Warehouse Organisation,Catalog,Category,Category Code,Item Name,Item Code,Brand,Model,Year,Unit of Measure,Pack,Pack Quantity,Weight,Length,Width,Height,Volume,Quantity,Received Date,Expiry Date,Unit,Unit Value,Currency,Supplier/Donor,Owned By (Organization/Branch),Tracking Number,Bin,Comments
NROC A WAREHOUSE,,,Food Items,,"Mixed vegetables w/tomato sauce in oil, Alqaem, 230g",,,,,tin,,,,,,,,7,5/18/2012,2/1/2013,,25,PHP,Filipino Community in Kuwait,,,,
NROC A WAREHOUSE,,,Food Items,,"Noodles, 65g",,,,,pcs,,,,,,,,6,5/18/2012,2/1/2013,,6.5,PHP,Filipino Community in Kuwait,,,,
NROC A WAREHOUSE,,,Food Items,,"Noodles, 85g",,,,,pcs,,,,,,,,15,5/18/2012,3/1/2013,,7.5,PHP,Filipino Community in Kuwait,,,,
NROC A WAREHOUSE,,,Food Items,,"Pancit Canton, egg noodles, 400g",,,,,pack,,,,,,,,2,9/3/2012,,,,PHP,Department of Education,,,,
NROC A WAREHOUSE,,,Food Items,,Rice,,,,,kgs,,,,,,,,5,10/19/2011,,,27.5,PHP,"Vox Dei Play & Learn Center, Imus Cavite",,,,
NROC A WAREHOUSE,,,Food Items,,"Rice, BS Long Grain",,,,,kgs,,,,,,,,1,8/9/2012,,,40,PHP,Ms. Kris Aquino,,,,
NROC A WAREHOUSE,,,Food Items,,"Rice, 20kilos/sack",,,,,sack,,,,,,,,10602,5/15/2012,,,550,PHP,Tzu Chi Foundation,,,,
NROC A WAREHOUSE,,,Food Items,,"Rice and Soy Meal, 450g",,,,,pack,,,,,,,,5000,3/2/2012,10/1/2013,,50,PHP,Second Harvest Japan,,,,
NROC A WAREHOUSE,,,Food Items,,"Rice, fragrant, 5kilos/pack",,,,,pack,,,,,,,,2,5/18/2012,7/1/2015,,175,PHP,Filipino Community in Kuwait,,,,
NROC A WAREHOUSE,,,Food Items,,"Sardines, 155g",,,,,tin,,,,,,,,30,5/18/2012,2/1/2013,,13,PHP,Filipino Community in Kuwait,,,,
NROC A WAREHOUSE,,,Food Items,,"Sardines, Jasmine, 200g",,,,,tin,,,,,,,,11,5/18/2012,8/1/2013,,17,PHP,Filipino Community in Kuwait,,,,
NROC A WAREHOUSE,,,Food Items,,"Sardines, Mega, 155g, easy open",,,,,tin,,,,,,,,10,8/8/2012,,,13.25,PHP,Fabielyn Lanuza & Mary Jonley Bargarita,,,,
NROC A WAREHOUSE,,,Food Items,,"Soup Mix, Dried Vegetables approx 2.5kgs",,,,,pack,,,,,,,,150,3/23/2012,5/1/2013,,125,PHP,Second Harvest Japan,,,,
NROC A WAREHOUSE,,,Food Items,,"Soup Mix, Dried Vegetables (127kilos)",,,,,barrel,,,,,,,,1,3/23/2012,5/1/2013,,"12,700.00",PHP,Second Harvest Japan,,,,
NROC A WAREHOUSE,,,Food Items,,"Soup Mix, Dried Vegetables (132kilos)",,,,,barrel,,,,,,,,1,3/23/2012,5/1/2013,,"13,200.00",PHP,Second Harvest Japan,,,,
NROC A WAREHOUSE,,,Food Items,,"Soup Mix, Dried Vegetables (129kilos)",,,,,barrel,,,,,,,,1,3/23/2012,5/1/2013,,"12,900.00",PHP,Second Harvest Japan,,,,
NROC A WAREHOUSE,,,Food Items,,"Soup Mix, Dried Vegetables (130kilos)",,,,,barrel,,,,,,,,1,3/23/2012,5/1/2013,,"13,000.00",PHP,Second Harvest Japan,,,,
NROC A WAREHOUSE,,,Food Items,,"Spaghetti Pasta, Macaron Zar, 400g",,,,,pack,,,,,,,,4,5/18/2012,9/1/2013,,27,PHP,Filipino Community in Kuwait,,,,
NROC A WAREHOUSE,,,Food Items,,"Sugar, refined",,,,,kgs,,,,,,,,13,5/18/2012,,,40,PHP,Filipino Community in Kuwait,,,,
NROC A WAREHOUSE,,,Food Items,,"Sugar, 1/4kg",,,,,pcs,,,,,,,,7,9/3/2012,,,12,PHP,Department of Education,,,,
NROC A WAREHOUSE,,,Food Items,,"Tea, Almunayes, 450g",,,,,pack,,,,,,,,1,5/18/2012,6/1/2013,,100,PHP,Filipino Community in Kuwait,,,,
NROC A WAREHOUSE,,,Food Items,,"Tuna, Rifi Light Meat, 80g",,,,,tin,,,,,,,,4,5/18/2012,2/1/2013,,20,PHP,Filipino Community in Kuwait,,,,
NROC A WAREHOUSE,,,Food Items,,"Ulam King, 155g",,,,,tin,,,,,,,,125032,8/12/2012,,,15,PHP,San Miguel Corporation,,,,
NROC A WAREHOUSE,,,Food Items,,"Lucky Me Chicken Noodles, 55g",,,,,pcs,,,,,,,,3,8/9/2012,4/2/2013,,6.9,PHP,Camille Flores R. De Mayo,,,,
NROC A WAREHOUSE,,,Food Items,,"Lucky Me Beef Noodles, 55g",,,,,pcs,,,,,,,,3,8/9/2012,3/23/2013,,6.9,PHP,Camille Flores R. De Mayo,,,,
NROC A WAREHOUSE,,,Food Items,,"Nescafé 3 in 1 Coffee, 16.5g",,,,,pcs,,,,,,,,12,8/9/2012,4/1/2013,,5,PHP,Camille Flores R. De Mayo,,,,
NROC A WAREHOUSE,,,Food Items,,"Mega Sardines, 155g",,,,,tin,,,,,,,,1,8/9/2012,5/1/2015,,13.25,PHP,Camille Flores R. De Mayo,,,,
NROC A WAREHOUSE,,,Food Items,,"555 Sardines, 155g",,,,,tin,,,,,,,,1,8/9/2012,3/8/2015,,13.25,PHP,Camille Flores R. De Mayo,,,,
NROC A WAREHOUSE,,,Food Items,,"Wow Ulam, 155g",,,,,tin,,,,,,,,2,8/9/2012,,,13.25,PHP,Camille Flores R. De Mayo,,,,
NROC C WAREHOUSE,,,Textile/Curtain/etc,,"Bath robe, used (1kg)",,,,,pcs,,,,,,,,2,7/24/2012,,,30,PHP,Jennifer Chia Juan  P. Hsu,,,,
NROC C WAREHOUSE,,,Clothings,,"Brief, for men 1pack x 5pcs/pack (XL - 16 packs x 5 = 80 pcs; L - 10 packs x 5 = 50 pcs; M - 12 packs x 5 + 3 pcs = 63 pcs; S - 16 packs x 5 = 80 pcs",,,,,box,,,,,,,,1,1/20/2012,,,"8,190.00",PHP,Winace Holding Company,,,,
NROC C WAREHOUSE,,,Repacked,,Clothing packs,,,,,pack,,,,,,,,21856,,,,100,PHP,Various donors,,,,
NROC C WAREHOUSE,,,Clothings,,"Clothing, used (box no. hc 2130)",,,,,kgs,,,,,,,,30,7/19/2012,,,50,PHP,Handang Tumulong Foundation Inc.,,,,
